MARCA,PRODUCTO,PRECIOS,ENLACE,TIENDA
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10404-laptop-i7-gaming-msi-gf76-katana-gaming-12700h-16gb-1tb-ssd-rtx-3070-ti-8gb-173-w11.html"">LAPTOP I7 GAMING MSI GF76 KATANA GAMING 12700H 16GB 1TB SSD RTX 3070 TI 8GB...</a>","S/ 6,679.20",https://yamoshi.com.pe/inicio/10404-laptop-i7-gaming-msi-gf76-katana-gaming-12700h-16gb-1tb-ssd-rtx-3070-ti-8gb-173-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10405-laptop-i7-gaming-msi-raider-ge76-12700h-16gb-1tb-ssd-rtx-3060-6gb-173-w11.html"">LAPTOP I7 GAMING MSI RAIDER GE76 12700H 16GB 1TB SSD RTX 3060 6GB 17.3"" W11</a>","S/ 7,043.52",https://yamoshi.com.pe/inicio/10405-laptop-i7-gaming-msi-raider-ge76-12700h-16gb-1tb-ssd-rtx-3060-6gb-173-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10406-laptop-i7-gaming-msi-katana-15-gaming-12650h-16gb-1tb-ssd-rtx-4070-8gb-156-w11.html"">LAPTOP I7 GAMING MSI KATANA 15 GAMING 12650H 16GB 1TB SSD RTX 4070 8GB...</a>","S/ 7,728.00",https://yamoshi.com.pe/inicio/10406-laptop-i7-gaming-msi-katana-15-gaming-12650h-16gb-1tb-ssd-rtx-4070-8gb-156-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10408-laptop-i9-gaming-msi-raider-ge76-12ue-871-12900h-16gb-1tb-ssd-rtx-3060-6gb-173-w11.html"">LAPTOP I9 GAMING MSI RAIDER GE76 12UE-871 12900H 16GB 1TB SSD RTX 3060 6GB...</a>","S/ 7,286.40",https://yamoshi.com.pe/inicio/10408-laptop-i9-gaming-msi-raider-ge76-12ue-871-12900h-16gb-1tb-ssd-rtx-3060-6gb-173-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10401-laptop-i7-gaming-msi-katana-15-b12vfk-291us-12650h-16gb-512gb-ssd-rtx-4060-8gb-156-w11.html"">LAPTOP I7 GAMING MSI KATANA 15 B12VFK-291US 12650H 16GB 512GB SSD RTX 4060...</a>","S/ 6,193.44",https://yamoshi.com.pe/inicio/10401-laptop-i7-gaming-msi-katana-15-b12vfk-291us-12650h-16gb-512gb-ssd-rtx-4060-8gb-156-w11.html,yamoshi
ACER,Laptop Gamer ACER Nitro Intel Core i5 11° Gen 8GB RAM 512 GB SSD 15.6'' RTX 3050 4GB,"S/  2,999  ",https://www.falabella.com.pe/falabella-pe/product/882661598/Laptop-Gamer-ACER-Nitro-Intel-Core-i5-11%C2%B0-Gen-8GB-RAM-512-GB-SSD-15.6''-RTX-3050-4GB/882661598?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro Intel Core i5 11° Gen 8GB RAM 256 GB SSD 15.6'' GTX 1650 4GB,"S/  2,599  ",https://www.falabella.com.pe/falabella-pe/product/882661602/Laptop-Gamer-ACER-Nitro-Intel-Core-i5-11%C2%B0-Gen-8GB-RAM-256-GB-SSD-15.6''-GTX-1650-4GB/882661602?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro Intel Core i7 11° Gen 8GB RAM 512 GB SSD 15.6'' RTX 3050 4GB,"S/  3,899  ",https://www.falabella.com.pe/falabella-pe/product/882730069/Laptop-Gamer-ACER-Nitro-Intel-Core-i7-11%C2%B0-Gen-8GB-RAM-512-GB-SSD-15.6''-RTX-3050-4GB/882730069?exp=tienda,saga
LENOVO,Laptop GAMER Legión 5i  Intel Core i7 16GB 512GBSSD RTX3060,"S/  6,699  ",https://www.falabella.com.pe/falabella-pe/product/882863248/Laptop-GAMER-Legion-5i-Intel-Core-i7-16GB-512GBSSD-RTX3060/882863248?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro Intel Core i5 11° Gen 8GB RAM 512 GB SSD 15.6'' RTX 3050 4GB,"S/  2,999  ",https://www.falabella.com.pe/falabella-pe/product/882807166/Laptop-Gamer-ACER-Nitro-Intel-Core-i5-11%C2%B0-Gen-8GB-RAM-512-GB-SSD-15.6''-RTX-3050-4GB/882807166?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro AMD Ryzen 7 Serie 5000 16GB RAM 512 GB SSD 15.6'' RTX 3060 6GB,"S/  4,999  ",https://www.falabella.com.pe/falabella-pe/product/882758993/Laptop-Gamer-ACER-Nitro-AMD-Ryzen-7-Serie-5000-16GB-RAM-512-GB-SSD-15.6''-RTX-3060-6GB/882758993?exp=tienda,saga
LENOVO,Laptop Gamer LENOVO Legion 5 Intel Core i5 10° Gen 8GB RAM 1TB HDD + 128 SSD 15.6'' GTX 1650,"S/  4,599  ",https://www.falabella.com.pe/falabella-pe/product/882030091/Laptop-Gamer-LENOVO-Legion-5-Intel-Core-i5-10%C2%B0-Gen-8GB-RAM-1TB-HDD-+-128-SSD-15.6''-GTX-1650/882030091?exp=tienda,saga
ACER,"Laptop Gamer ACER Nitro 5 Intel Core i5 12° Gen 12 núcleos - 8GB 512GB SSD 15.6"" RTX3050","S/  3,999  ",https://www.falabella.com.pe/falabella-pe/product/882863268/Laptop-Gamer-ACER-Nitro-5-Intel-Core-i5-12%C2%B0-Gen-12-nucleos-8GB-512GB-SSD-15.6-RTX3050/882863268?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro Intel Core i7 11° Gen 16GB RAM 512 GB SSD 15.6'' RTX 3050 4GB,"S/  4,999  ",https://www.falabella.com.pe/falabella-pe/product/882758991/Laptop-Gamer-ACER-Nitro-Intel-Core-i7-11%C2%B0-Gen-16GB-RAM-512-GB-SSD-15.6''-RTX-3050-4GB/882758991?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro Intel Core i7 12° Gen 14 núcleos - 16GB RAM 512 GB SSD 15.6'' RTX 3060 6GB,"S/  6,899  ",https://www.falabella.com.pe/falabella-pe/product/882730091/Laptop-Gamer-ACER-Nitro-Intel-Core-i7-12%C2%B0-Gen-14-nucleos-16GB-RAM-512-GB-SSD-15.6''-RTX-3060-6GB/882730091?exp=tienda,saga
ACER,Laptop Gamer ACER Nitro AMD Ryzen 5 Serie 5000 8GB RAM 512 GB SSD 15.6'' GTX 1650 4GB,"S/  4,799  ",https://www.falabella.com.pe/falabella-pe/product/882730073/Laptop-Gamer-ACER-Nitro-AMD-Ryzen-5-Serie-5000-8GB-RAM-512-GB-SSD-15.6''-GTX-1650-4GB/882730073?exp=tienda,saga
ASUS,TUF Gaming F15 FX506 Core i7 15.6'' FHD IPS 512GB SSD 16GB RAM,"S/  5,499  ",https://www.falabella.com.pe/falabella-pe/product/882135082/TUF-Gaming-F15-FX506-Core-i7-15.6''-FHD-IPS-512GB-SSD-16GB-RAM/882135082?exp=tienda,saga
